id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,111720.0,2230126960410,1,2230126960410,79130910578,115934.0,110256.0,-2640.900456689531,-2.30927,-50476308622.70801,-2.21329,19934406.0,19934406.0,21000000.0,126080.0,-11.12973,2025-10-06T18:57:42.558Z,67.81,165139.91521,2013-07-06T00:00:00.000Z,,2025-10-14T14:32:14.363Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3971.03,480198938106,2,480198938106,55607181146,4283.09,3905.32,-145.17601744733201,-3.52693,-16047420520.134277,-3.23376,120698949.597492,120698949.597492,,4946.05,-19.01483,2025-08-24T19:21:03.333Z,0.432979,925018.06759,2015-10-20T00:00:00.000Z,"{'times': 46.475941941303645, 'currency': 'btc', 'percentage': 4647.5941941303645}",2025-10-14T14:32:14.783Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.001,180194755994,3,180194755994,156773907630,1.001,1.001,-6.0937933810568e-05,-0.00609,220347896.0,0.12243,180003740933.6514,180003740933.6514,,1.32,-24.33388,2018-07-24T00:00:00.000Z,0.572521,74.86431,2015-03-02T00:00:00.000Z,,2025-10-14T14:32:18.988Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,1184.47,165477490196,4,165477490196,8306143586,1317.72,1144.98,-75.88062296125531,-6.02061,-12050180160.028625,-6.78778,139181591.86,139181591.86,200000000.0,1369.99,-12.59428,2025-10-13T08:41:24.131Z,0.0398177,3007233.82474,2017-10-19T00:00:00.000Z,,2025-10-14T14:32:14.252Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.45,146966257225,5,245252117149,7676901732,2.64,2.41,-0.13279144567910572,-5.14735,-6879534043.996216,-4.47171,59916045245.0,99985787384.0,100000000000.0,3.65,-32.77778,2025-07-18T03:40:53.808Z,0.00268621,91150.4719,2014-05-22T00:00:00.000Z,,2025-10-14T14:32:17.594Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,197.36,108423210930,6,121346923938,13447634330,210.8,192.27,2.74,1.40965,2453077293.0,2.31488,546702234.512421,611867458.0769514,,293.31,-32.56038,2025-01-19T11:15:27.957Z,0.500801,39398.4011,2020-05-11T19:35:23.449Z,,2025-10-14T14:32:17.922Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999903,75753421836,7,75792949783,15406595792,1.0,0.999805,-6.86305644537e-07,-7e-05,-91119318.45735168,-0.12014,75760851430.99695,75800383254.60153,,1.17,-14.73903,2019-05-08T00:40:28.300Z,0.877647,13.9252,2023-03-11T08:02:13.981Z,,2025-10-14T14:32:09.870Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3963.42,33899225231,8,33899225231,85755000,4284.14,3904.43,-143.53644430097256,-3.49496,-1001420431.1802101,-2.86935,8491008.8147519,8491008.8147519,,4932.89,-18.93177,2025-08-24T19:21:31.902Z,482.9,728.1302,2020-12-22T04:08:21.854Z,,2025-10-14T14:32:17.854Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.199551,30288114885,9,30290798776,4635430790,0.218041,0.195789,-0.007206722578836561,-3.48559,-1076799161.8763504,-3.43313,151333896383.7052,151347306383.7052,,0.731578,-72.66448,2021-05-08T05:08:23.458Z,8.69e-05,230017.38228,2015-05-06T00:00:00.000Z,,2025-10-14T14:32:12.721Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.311749,29514957385,10,29514990541,1167024306,0.324224,0.30862,-0.00955304184221989,-2.97323,-930785749.1638947,-3.0572,94667095671.4109,94667202018.81201,,0.431288,-27.79148,2024-12-04T00:10:40.323Z,0.00180434,17159.86547,2017-11-12T00:00:00.000Z,"{'times': 163.07848720789315, 'currency': 'usd', 'percentage': 16307.848720789316}",2025-10-14T14:32:18.903Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.678564,24838868348,11,30579337440,1841559511,0.734399,0.667708,-0.0311491208132767,-4.38897,-1103420483.6826668,-4.25337,36552429492.24524,45000000000.0,45000000000.0,3.09,-77.97881,2021-09-02T06:00:10.474Z,0.01925275,3430.79256,2020-03-13T02:22:55.044Z,,2025-10-14T14:32:12.301Z
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,4836.3,15498011034,12,15498011034,16730476,5207.47,4751.2,-150.8010812562161,-3.02382,-362883527.902195,-2.28791,3194976.565906139,3194976.565906139,,7256.02,-32.99467,2022-05-13T15:09:54.509Z,558.54,770.46938,2022-05-13T01:36:45.053Z,,2025-10-14T14:32:09.826Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,111572.0,14164191726,13,14164191726,556659390,116040.0,110314.0,-2684.651794166348,-2.34967,-334267278.985836,-2.30554,126998.55811131,126998.55811131,126998.55811131,125932.0,-11.14597,2025-10-06T18:55:19.650Z,3139.17,3464.49296,2019-04-02T00:00:00.000Z,,2025-10-14T14:32:10.254Z
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,https://coin-images.coingecko.com/coins/images/30061/large/wbeth-icon.png?1696528983,4281.07,13994092276,14,13994092276,83208691,4608.99,4199.27,-123.18316928436889,-2.79692,-431144135.73965645,-2.98882,3264275.083835941,3264275.083835941,,5330.78,-19.28832,2025-08-24T19:27:46.809Z,1501.6,186.53167,2025-04-09T03:57:40.245Z,,2025-10-14T14:32:09.723Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/Chainlink_Logo_500.png?1760023405,18.6,12988895388,15,18639443121,1415091390,20.17,18.22,-0.9468223964433413,-4.84309,-730908944.8633957,-5.3274,696849970.4525868,1000000000.0,1000000000.0,52.7,-64.67004,2021-05-10T00:13:57.214Z,0.148183,12463.96554,2017-11-29T00:00:00.000Z,,2025-10-14T14:32:12.289Z
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.0,12986501992,16,12986501992,5942967,1.0,0.975426,0.0245747,2.51938,316585043.0,2.49871,12986491603.068,12986491603.068,,1.062,-5.83195,2025-09-29T13:45:20.512Z,0.883674,13.16401,2025-09-06T20:28:04.023Z,,2025-10-14T14:32:13.051Z
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,0.999577,12508704198,17,12508704198,418886561,1.003,0.998794,-0.00041343045188158,-0.04134,-90740305.90719986,-0.72019,12520300762.95106,12520300762.95106,,1.032,-3.09374,2023-12-20T15:38:34.596Z,0.929486,7.60272,2024-10-04T07:57:15.809Z,,2025-10-14T14:32:13.064Z
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,4289.6,10540721654,18,10540721654,14743015,4620.52,4213.2,-132.79927941346705,-3.00288,-412051232.3759823,-3.76207,2457275.480889779,2457275.480889779,,5296.78,-18.63983,2025-08-24T19:25:19.771Z,1505.24,186.29876,2025-04-09T03:45:31.391Z,,2025-10-14T14:32:09.828Z
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,38.79,10529687653,19,38881101485,867683035,43.51,37.67,-1.5794664368880333,-3.91274,-424030518.3171921,-3.87111,270772999.4341414,999835210.4341414,1000000000.0,59.3,-34.18603,2025-09-18T03:30:30.650Z,3.81,924.75065,2024-11-29T09:30:30.871Z,,2025-10-14T14:32:14.027Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.32783,10507223004,20,16418641369,347962954,0.35424,0.322513,-0.01740225188018346,-5.04073,-521198902.0857563,-4.72596,31998989051.07718,50001786884.69562,50001786884.69562,0.875563,-62.49038,2018-01-03T00:00:00.000Z,0.00047612,68877.9953,2015-03-05T00:00:00.000Z,,2025-10-14T14:32:18.146Z
