"What is the capital of France?","Paris","London","Berlin","Madrid"
"Which planet is known as the Red Planet?","Mars","Jupiter","Venus","Saturn"
"What is the largest mammal?","Blue Whale","Elephant","Giraffe","Hippo"
"Who wrote 'Romeo and Juliet'?","William Shakespeare","Charles Dickens","Jane Austen","Mark Twain"
"What is the chemical symbol for water?","H2O","CO2","O2","NaCl"
"How many continents are there?","7","5","6","8"
"What is the currency of Japan?","Yen","Won","Yuan","Dollar"
"Who painted the Mona Lisa?","Leonardo da Vinci","Vincent van Gogh","Pablo Picasso","Claude Monet"
"What is the tallest mountain in the world?","Mount Everest","K2","Kangchenjunga","Lhotse"
"In which country are the Pyramids of Giza located?","Egypt","Mexico","Peru","Sudan"
"What is the longest river in the world?","The Nile","The Amazon","The Yangtze","The Mississippi"
"What is the capital of Australia?","Canberra","Sydney","Melbourne","Brisbane"
"Which country is known as the Land of the Rising Sun?","Japan","China","South Korea","Thailand"
"What is the largest desert in the world?","Antarctic Polar Desert","Sahara Desert","Arabian Desert","Gobi Desert"
"Mount Fuji is the highest mountain in which country?","Japan","Nepal","China","Tanzania"
"What is the capital of Canada?","Ottawa","Toronto","Vancouver","Montreal"
"Which is the largest ocean on Earth?","Pacific Ocean","Atlantic Ocean","Indian Ocean","Arctic Ocean"
"The ancient city of Petra is in which country?","Jordan","Egypt","Syria","Israel"
"What is the smallest country in the world?","Vatican City","Monaco","Nauru","Tuvalu"
"What is the capital of Armenia?","Yerevan","Gyumri","Vanadzor","Dilijan"
"What is the powerhouse of the cell?","Mitochondrion","Nucleus","Ribosome","Cytoplasm"
"What is the boiling point of water at sea level?","100°C / 212°F","90°C / 194°F","110°C / 230°F","80°C / 176°F"
"What gas do plants absorb from the atmosphere?","Carbon Dioxide","Oxygen","Nitrogen","Hydrogen"
"What force pulls objects toward the center of the Earth?","Gravity","Magnetism","Friction","Tension"
"How many bones are in the adult human body?","206","201","211","216"
"What is the hardest natural substance on Earth?","Diamond","Quartz","Topaz","Corundum"
"What is the chemical symbol for gold?","Au","Ag","Fe","Pb"
"Which planet is closest to the sun?","Mercury","Venus","Earth","Mars"
"What is the study of earthquakes called?","Seismology","Geology","Volcanology","Meteorology"
"What type of star is the Sun?","Yellow Dwarf","Red Giant","White Dwarf","Blue Giant"
"Who was the first President of the United States?","George Washington","Thomas Jefferson","Abraham Lincoln","John Adams"
"In which year did the Titanic sink?","1912","1905","1915","1920"
"What was the primary cause of the Cold War?","Ideological conflict between the US and the Soviet Union","The Cuban Missile Crisis","The Vietnam War","The fall of the Berlin Wall"
"Who invented the light bulb?","Thomas Edison","Nikola Tesla","Alexander Graham Bell","Benjamin Franklin"
"Which empire was ruled by Julius Caesar?","Roman Empire","Greek Empire","Persian Empire","Ottoman Empire"
"The Renaissance began in which country?","Italy","France","England","Spain"
"Who was the first person to walk on the moon?","Neil Armstrong","Buzz Aldrin","Michael Collins","Yuri Gagarin"
"What year did World War II end?","1945","1939","1941","1950"
"The Magna Carta was signed in which country?","England","France","Germany","Italy"
"Who discovered America in 1492?","Christopher Columbus","Leif Erikson","Amerigo Vespucci","Ferdinand Magellan"
"Who wrote the Harry Potter series?","J.K. Rowling","Stephen King","George R.R. Martin","J.R.R. Tolkien"
"What is the name of the wizard in 'The Lord of the Rings'?","Gandalf","Dumbledore","Merlin","Saruman"
"In the movie 'Star Wars', what is the name of Luke Skywalker's father?","Darth Vader","Obi-Wan Kenobi","Yoda","Han Solo"
"What is the highest-grossing film of all time (unadjusted for inflation)?","Avatar","Avengers: Endgame","Titanic","Star Wars: The Force Awakens"
"How many players are on a standard soccer team on the field?","11","7","9","12"
"Which artist is known for the song 'Shape of You'?","Ed Sheeran","Justin Bieber","Drake","The Weeknd"
"What is the main ingredient in guacamole?","Avocado","Tomato","Onion","Lime"
"Which TV show features the characters Ross, Rachel, Monica, Chandler, Joey, and Phoebe?","Friends","Seinfeld","The Office","How I Met Your Mother"
"What is the capital of the fictional country Wakanda in the Marvel Universe?","Birnin Zana","Asgard","Metropolis","Gotham"
"Which video game features a plumber named Mario?","Super Mario Bros.","The Legend of Zelda","Sonic the Hedgehog","Pac-Man"